symbol,interval,total_return,sharpe_ratio,max_drawdown,win_rate,trades_executed,trading_volume,winning_trades,losing_trades,open_position,open_position_value,open_position_return,net_profit_loss,total_fees_paid,strategy
BTC/USD,240,-0.014328035518432989,-0.5971433211499189,0.024349781278464207,0.5,12,11761.096273715206,6,6,0.01462606721240908,980.648554457604,-0.002367309406297933,-143.2803551843299,81.33220080833877,ao
BTC/USD,240,-0.019306527166490377,-0.8130696479558751,0.03678948987205052,0.37037037037037035,27,26540.714522013197,10,17,0.0,0.0,0.0,-193.06527166490378,175.80583124178125,apo
BTC/USD,240,0.010025938105173373,0.37724961819702324,0.013787700175919217,0.4444444444444444,18,18162.07115952441,8,10,0.0,0.0,0.0,100.25938105173373,119.53881369539039,bias
BTC/USD,240,-0.12726117698253456,-4.039485627603914,0.12863105397724278,0.25906735751295334,193,178925.58291822518,50,143,0.012977955092760673,870.1459330594176,0.0,-1272.6117698253456,1187.9799476798062,bos
BTC/USD,240,0.004737147640153308,0.5549705268007935,0.0048402788391962385,1.0,1,1047.3714764015328,1,0,0.0,0.0,0.0,47.37147640153307,6.756325872125059,brar
BTC/USD,240,-0.027710610425064806,-1.022907002113841,0.033793722569485554,0.5454545454545454,22,21387.470782174136,12,10,0.0,0.0,0.0,-277.10610425064806,142.07175730637647,cci
BTC/USD,240,-0.03661990711080743,-1.2073515030378212,0.038383843203725725,0.5283018867924528,53,51195.147897927985,28,25,0.014129646225051567,947.3645200972575,-0.015187567932786934,-366.19907110807435,342.22273597730236,cfo
BTC/USD,240,-0.013475199885911025,-0.5106367964604442,0.026833252861260537,0.38235294117647056,34,33765.55698243655,13,21,0.0,0.0,0.0,-134.75199885911024,223.29735768031628,gc
ETH/USD,240,0.005115725259193459,0.19798590129900023,0.018347260687023262,0.6666666666666666,12,12099.768014326202,8,4,0.3983228438831596,988.0756633081269,-0.015552945098381624,51.15725259193459,82.95029964991637,ao
ETH/USD,240,-0.02838405516706316,-1.1930307713668438,0.03317114343774814,0.3333333333333333,27,26344.064455988653,9,18,0.0,0.0,0.0,-283.8405516706316,174.80749923003816,apo
ETH/USD,240,-0.009066608835202532,-0.30392374407413636,0.028894433647144627,0.22727272727272727,22,21742.628227783738,5,17,0.0,0.0,0.0,-90.66608835202533,143.80054439493432,bias
ETH/USD,240,-0.12136800182074257,-3.5993687919915978,0.12136800182074257,0.2896174863387978,183,170345.6818362441,53,130,0.3531505003701423,876.0215997131713,0.0,-1213.6800182074257,1131.1775154583495,bos
ETH/USD,240,-0.00402691944600665,-0.3176657078005351,0.01189146561443843,0.0,2,1959.0384021615746,0,2,0.0,0.0,0.0,-40.2691944600665,13.062541795984613,brar
ETH/USD,240,-0.03675798272297543,-1.0016679231952128,0.03841452434595576,0.56,25,24195.979020835755,14,11,0.3871973401651403,960.4778500402454,0.0001128891146671989,-367.5798272297543,164.0760518725069,cci
ETH/USD,240,-0.03651626143037647,-1.0843264699552533,0.03829102460670056,0.5238095238095238,63,61314.87280796803,33,30,0.3872551478656022,960.6212472439342,0.0,-365.1626143037647,409.05324727569655,cfo
ETH/USD,240,-0.014524362745789403,-0.5260327167041531,0.028730298894433088,0.375,32,31656.450056856254,12,20,0.0,0.0,0.0,-145.24362745789404,209.41187434586237,gc
BTC/USD,1440,0.07167641269835476,1.3104483803416376,0.015818155881317672,0.6153846153846154,13,14388.774932637034,8,5,0.0,0.0,0.0,716.7641269835476,92.60059293635872,ao
BTC/USD,1440,0.0913781552279801,1.3899908325247625,0.035129130044600554,0.36666666666666664,30,32621.888602065315,11,19,0.0,0.0,0.0,913.781552279801,212.28898565110768,apo
BTC/USD,1440,0.08624383049013395,1.0106747525560917,0.04361750013094426,0.3333333333333333,27,28994.006873028276,9,18,0.017036799821245,1142.2833544148348,0.061154722714611295,862.4383049013395,192.28393402538111,bias
BTC/USD,1440,-0.047864085783351405,-0.6618735083354078,0.08011086667845045,0.30456852791878175,197,194598.23395632973,60,137,0.0,0.0,0.0,-478.640857833514,1285.9278589426274,bos
